fold,year,month_number,month_name,fsa,observations,mae,mape,mean_residual,actual_mean,predicted_mean
fold_2023,2023,11,Nov.,M5S,17280,154.28648476483988,3.841881902448177,6.877540402411058,4047.474508101852,4040.596967699441
fold_2023,2023,12,Dic.,M5S,17280,149.90292642514092,3.6987593761710498,-35.18786142595287,4131.396979166667,4166.58484059262
fold_2023,2023,1,Ene.,M6G,17856,483.3557704885137,3.7306228274837467,334.9981610694351,13119.502032930108,12784.503871860672
fold_2023,2023,2,Feb.,M6G,16128,703.036487375742,5.110065411107305,512.0045888604185,13279.307056051586,12767.302467191168
fold_2023,2023,3,Mar.,M6G,17856,612.5609167077938,4.888330732243686,453.92362733923034,12383.180488351256,11929.256861012023
fold_2023,2023,4,Abr.,M6G,17280,454.9755076701063,4.309546884787989,305.4419559560862,10412.371979166668,10106.93002321058
fold_2023,2023,5,May.,M6G,17856,364.9850339508465,3.5163094037843865,148.51789906165968,9593.109184587813,9444.591285526154
fold_2023,2023,6,Jun.,M6G,17280,772.3944273128117,6.285919698550062,465.4372035295879,11262.53634837963,10797.099144850043
fold_2023,2023,7,Jul.,M6G,17856,1357.9757995429804,9.541542132267198,912.7932278785037,13622.771102150538,12709.977874272034
fold_2023,2023,8,Ago.,M6G,17856,840.2232104813163,7.044629790800987,300.49867648807674,11520.954217069893,11220.455540581816
fold_2023,2023,9,Set.,M6G,17280,827.1576488943089,6.170191029159855,588.5995835586465,10769.38038773148,10180.780804172835
fold_2023,2023,10,Oct.,M6G,17856,412.44813383666536,3.915810940967408,183.08592507639523,9929.511211917563,9746.425286841168
fold_2023,2023,11,Nov.,M6G,17280,476.63232265375916,4.091876243482844,314.565535685572,11394.313709490742,11079.74817380517
fold_2023,2023,12,Dic.,M6G,17280,420.9133378257102,3.5287378276084156,150.3305740881055,12048.061689814815,11897.731115726709
fold_2023,2023,1,Ene.,M9R,17856,324.8225518218507,5.431918755166139,-265.2622860228519,5687.111883960573,5952.374169983425
fold_2023,2023,2,Feb.,M9R,16128,275.3300816827111,4.8103420538392,-123.07674022139632,5632.706708829365,5755.783449050761
fold_2023,2023,3,Mar.,M9R,17856,288.0157361812995,5.324561250957571,-198.44138276858504,5367.160915098566,5565.602297867152
fold_2023,2023,4,Abr.,M9R,17280,252.25234879480834,5.164281670027931,-122.47628296945499,4841.845688657408,4964.321971626862
fold_2023,2023,5,May.,M9R,17856,239.83962343832192,4.738650980302852,-0.7919142923556105,4708.6429323476705,4709.434846640026
fold_2023,2023,6,Jun.,M9R,17280,463.3516168521339,7.485099986193559,-95.57917742725493,5786.732152777778,5882.311330205033
fold_2023,2023,7,Jul.,M9R,17856,791.5189422935406,10.774848155234539,-70.83493983160314,7232.805813172043,7303.640753003646
fold_2023,2023,8,Ago.,M9R,17856,630.654366871635,9.955466896655366,-141.9919179376415,6067.386833557348,6209.378751494989
fold_2023,2023,9,Set.,M9R,17280,509.3633619634227,7.504254609534863,155.95095503960042,5543.8442187499995,5387.8932637104
fold_2023,2023,10,Oct.,M9R,17856,252.91876298746882,5.062945612063696,-87.02743421799715,4832.905835573476,4919.933269791473
fold_2023,2023,11,Nov.,M9R,17280,175.2851574423343,3.4131658651816457,-36.33658083297759,5177.180827546296,5213.5174083792745
fold_2023,2023,12,Dic.,M9R,17280,181.90651921673881,3.193274108359629,-8.685840863044087,5623.557274305555,5632.2431151686
fold_2023,2023,1,Ene.,M9W,17856,1213.645585848752,8.08120095390391,1172.3318225588885,14738.861598342293,13566.529775783407
fold_2023,2023,2,Feb.,M9W,16128,1393.6215186745956,9.180109002613039,1378.4089684001362,14916.540959821428,13538.131991421293
fold_2023,2023,3,Mar.,M9W,17856,1352.7911577094678,9.326893769603512,1318.0473241682885,14345.509050179211,13027.461726010924
fold_2023,2023,4,Abr.,M9W,17280,1471.0565084236878,11.119423456066244,1458.8998838785283,13025.58657986111,11566.686695982584
fold_2023,2023,5,May.,M9W,17856,1868.793505728742,13.967972336563191,1862.1630744837778,12669.597664650539,10807.43459016676
