fsa,forecast_origin,horizon,target_timestamp,target_hour,target_weekday,target_month,target_is_weekend,target_hour_sin,target_hour_cos,target_weekday_sin,target_weekday_cos,target_month_sin,target_month_cos,target_season,target_lag_24h,target_lag_48h,target_lag_168h,origin_rolling_mean_24h,origin_rolling_std_24h,origin_rolling_mean_168h,_rf_origin_rolling_mean_24h,_rf_origin_rolling_std_24h,_rf_origin_rolling_mean_168h,origin__Temp (°C),origin__Rel Hum (%),origin__Stn Press (kPa),origin__reported_premise_count
M5R,2026-04-30 23:00:00,20,2026-05-01 19:00:00,19,4,5,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10070.277593,10262.379062,10042.713914,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,21,2026-05-01 20:00:00,20,4,5,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9902.190638,9969.687703,9887.034369,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,22,2026-05-01 21:00:00,21,4,5,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9239.612636,9370.636441,9401.069917,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,23,2026-05-01 22:00:00,22,4,5,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,8489.354466,8509.072920999999,8554.008372,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,24,2026-05-01 23:00:00,23,4,5,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,7728.580676,7753.344019,7897.446791,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5S,2026-04-30 23:00:00,1,2026-05-01 00:00:00,0,4,5,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,4163.953322,3929.719329,3998.903708,4928.110206708334,715.1743991292061,4943.510143517857,4930.633372125,713.80702192782,4944.641180202381,7.5,43.0,99.99,6488
M5S,2026-04-30 23:00:00,2,2026-05-01 01:00:00,1,4,5,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,3897.252864,3685.870547,3747.447275,4928.110206708334,715.1743991292061,4943.510143517857,4930.633372125,713.80702192782,4944.641180202381,7.5,43.0,99.99,6488
M5S,2026-04-30 23:00:00,3,2026-05-01 02:00:00,2,4,5,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,3763.221242,3522.313381,3578.302508,4928.110206708334,715.1743991292061,4943.510143517857,4930.633372125,713.80702192782,4944.641180202381,7.5,43.0,99.99,6488
M5S,2026-04-30 23:00:00,4,2026-05-01 03:00:00,3,4,5,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,3713.561361,3438.9008,3349.114616,4928.110206708334,715.1743991292061,4943.510143517857,4930.633372125,713.80702192782,4944.641180202381,7.5,43.0,99.99,6488
M5S,2026-04-30 23:00:00,5,2026-05-01 04:00:00,4,4,5,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,3726.82884,3481.204974,3507.13702,4928.110206708334,715.1743991292061,4943.510143517857,4930.633372125,713.80702192782,4944.641180202381,7.5,43.0,99.99,6488
