threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.45,0.9816548703462723,0.2869748366983373,0.44411737254367006,0.640650970484847,30929,578,76847,101310,71.30251633016627,0.5672895728643216,15.027377136752138,51.4041514041514,209664
0.46,0.9819738621000451,0.2830500296912114,0.4394347531726711,0.6387768992677163,30506,560,77270,101328,71.69499703087887,0.5496231155778895,14.817040598290598,51.4041514041514,209664
0.47,0.9823337679269882,0.2796355403800475,0.4353440804298839,0.6371579868985665,30138,542,77638,101346,72.03644596199526,0.5319566582914573,14.632936507936508,51.4041514041514,209664
0.48,0.9828082123846993,0.27582207541567694,0.4307542945740927,0.6353592160997983,29727,520,78049,101368,72.4177924584323,0.5103643216080402,14.426415598290598,51.4041514041514,209664
0.49,0.9830798096897406,0.2722405730403801,0.4263998488613739,0.6336420751508434,29341,505,78435,101383,72.77594269596199,0.4956422738693468,14.235157203907203,51.4041514041514,209664
0.5,0.9832716908146992,0.26887247624703087,0.42227516812753646,0.6320169149451235,28978,493,78798,101395,73.1127523752969,0.48386463567839194,14.056299603174601,51.4041514041514,209664
0.51,0.9836172775770091,0.26517035332541566,0.4177269770739087,0.6302492784215018,28579,476,79197,101412,73.48296466745843,0.46717964824120606,13.857886904761903,51.4041514041514,209664
0.52,0.9839687739597128,0.26196926959619954,0.4137759214479373,0.6287272541448334,28234,460,79542,101428,73.80307304038006,0.4514761306532663,13.685706654456656,51.4041514041514,209664
0.53,0.9841539332201471,0.25816508313539194,0.4090321063154181,0.6268840491053844,27824,448,79952,101440,74.18349168646081,0.4396984924623116,13.484432234432234,51.4041514041514,209664
0.54,0.9843266949457186,0.25406398456057006,0.40388217767747836,0.6248923880089282,27382,436,80394,101452,74.593601543943,0.42792085427135684,13.2678952991453,51.4041514041514,209664
0.55,0.9847395129787156,0.2502690766033254,0.3991062907366443,0.623083266316738,26973,418,80803,101470,74.97309233966746,0.4102543969849246,13.06423611111111,51.4041514041514,209664
0.56,0.9851824411928135,0.24676180225653208,0.3946694763710294,0.6214179614297736,26595,400,81181,101488,75.32381977434679,0.3925879396984924,12.875362484737485,51.4041514041514,209664
