threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.44,0.5751229353171101,0.48391391757772506,0.5255907609963789,0.7275003545571193,91226,67394,97291,2263513,51.6086082422275,2.891320846348653,6.295883503530966,7.4825436290199665,2519424
0.45,0.5785859645979189,0.47959070004296694,0.524457696089379,0.725669732826117,90411,65851,98106,2265056,52.0409299957033,2.8251234390732876,6.202290682314688,7.4825436290199665,2519424
0.46,0.5821799925961045,0.4755008832094718,0.5234605389938393,0.7239504487264272,89640,64333,98877,2266574,52.44991167905282,2.759998575661749,6.1114365823299295,7.4825436290199665,2519424
0.47,0.5858271660263211,0.47154368041078526,0.522509389933521,0.7222906073634131,88894,62847,99623,2268060,52.84563195892148,2.696246568395908,6.022844904232079,7.4825436290199665,2519424
0.48,0.5894270592879557,0.4673000312969122,0.5213063726795553,0.7204871138252602,88094,61363,100423,2269544,53.26999687030878,2.6325803646391726,5.932189262307575,7.4825436290199665,2519424
0.49,0.5929386203150462,0.4632367372703788,0.5201237652510297,0.7187581386903653,87328,59952,101189,2270955,53.676326272962115,2.5720459889648106,5.84578062287253,7.4825436290199665,2519424
0.5,0.5963299591375473,0.45905674289321385,0.5187658480149143,0.716962233029244,86540,58581,101977,2272326,54.09432571067862,2.513227683472571,5.760086432454402,7.4825436290199665,2519424
0.51,0.5994086231965104,0.45486083483187195,0.5172254676948967,0.715137563175076,85749,57307,102768,2273600,54.51391651681281,2.4585708481719775,5.678123253569069,7.4825436290199665,2519424
0.52,0.6030633455592841,0.45091954571736237,0.5160103680411808,0.713457792513691,85006,55951,103511,2274956,54.90804542826376,2.4003960689980337,5.594810559874003,7.4825436290199665,2519424
0.53,0.6065487554482908,0.44660163274399656,0.514429216490184,0.711585848764968,84192,54613,104325,2276294,55.33983672560034,2.342993521406045,5.509394210740233,7.4825436290199665,2519424
