threshold,min_precision,mean_precision,max_precision,min_recall,mean_recall,max_recall,worst_fold_f1,mean_f1,f1_range,worst_fold_balanced_accuracy,mean_balanced_accuracy,max_missed_peak_rate_pct,mean_missed_peak_rate_pct,mean_false_alarm_rate_pct
0.58,0.5270471264521834,0.6443359881058994,0.7616248497596154,0.29400250831877395,0.5358516970572041,0.7777008857956343,0.42423988827809134,0.5262687401136473,0.20405770367111198,0.6413349538477024,0.7578053399245773,70.5997491681226,46.41483029427958,2.0241017208049374
0.59,0.531573358022002,0.6482650255053319,0.7649566929886618,0.2900370448235115,0.5310019928325087,0.7719669408415059,0.42060112908821395,0.5251025383556274,0.20900281853482677,0.6395307866730385,0.7556537296515615,70.99629551764886,46.89980071674914,1.9694533529385654
0.6,0.5357864437740445,0.6517080258944146,0.7676296080147845,0.2860643318520237,0.525792763838065,0.7655211958241063,0.41680310120097597,0.5235890333012809,0.2135718642006098,0.6376997813657762,0.7533043499079457,71.39356681479762,47.4207236161935,1.9184064022173555
0.61,0.5402413637898054,0.6553435184286006,0.7704456730673959,0.28185238616509956,0.5206418685017209,0.7594313508383423,0.41271947517037855,0.5220363106669172,0.2186336709930773,0.6357549630494171,0.7509866257394013,71.81476138349005,47.93581314982791,1.8668617022918461
0.62,0.5446733675526515,0.6590450970679125,0.7734168265831735,0.277567945715922,0.515395409112311,0.7532228725086998,0.40852298795386405,0.5203579782903484,0.22366998067296867,0.6337765758205258,0.7486189488881626,72.24320542840779,48.46045908876891,1.8157511335985626
0.63,0.5494307358992628,0.6627317522815994,0.7760327686639359,0.2733197526478712,0.5102165039734136,0.747113255298956,0.40425896935515,0.5187303778564035,0.22894281700250702,0.631802473527793,0.7462818461395809,72.66802473521288,48.97834960265864,1.7652811694251767
0.64,0.5543251365715723,0.6667051341953061,0.7790851318190398,0.26928904386658065,0.5048102131702407,0.7403313824739006,0.400237043422045,0.5171016663991865,0.23372924595428302,0.6299424703156292,0.7438386841669264,73.07109561334194,49.518978682975934,1.713284483638757
0.65,0.5587650302865925,0.6705890941470227,0.7824131580074528,0.26485236441667087,0.4990328731289302,0.7332133818411894,0.3957429523113169,0.5149773919087668,0.23846887919489984,0.6278906420549664,0.7412027769411428,73.5147635583329,50.09671268710697,1.6627319246644658
0.66,0.5638539778139692,0.6744595415592611,0.785065105304553,0.26050267868146526,0.49306176325721474,0.7256208478329642,0.3911971390157474,0.512893791793499,0.24339330555550331,0.6258595436686022,0.7384740861194756,73.94973213185348,50.693823674278526,1.6113591018263456
0.67,0.5685587333375055,0.6783415952261816,0.7881244571148578,0.25652996570997744,0.4875262925671051,0.7185226194242328,0.3870706628746445,0.510937420666264,0.24773351558323903,0.6240182708983941,0.7359463350534681,74.34700342900226,51.24737074328949,1.563362246016883
0.68,0.5737273539168155,0.6821252671905534,0.7905231804642914,0.25204978940271566,0.48167777353716923,0.7113057576716229,0.3822297468145689,0.5086907914863805,0.25292208934362315,0.6219121061744888,0.7332639123838482,74.79502105972844,51.83222264628307,1.5149948769472688
0.69,0.578047273791332,0.6858215749442427,0.7935958760971532,0.2477653489535381,0.4754130446128019,0.7030607402720658,0.37763180429486154,0.5060431302676913,0.25682265194565945,0.6199145232540035,0.7303634633575006,75.2234651046462,52.45869553871981,1.46861178978009
0.7,0.5836582330982995,0.6903022900651314,0.7969463470319634,0.24292994831123452,0.46925839395947677,0.695586839607719,0.37235608842762613,0.5035409908719397,0.26236980488862727,0.6176535133456306,0.7275422488657373,75.70700516887655,53.074160604052324,1.4173896228002325
0.71,0.5886539243594957,0.6943804420154189,0.8001069596713422,0.23860926048093026,0.46274816076877895,0.6868870610566277,0.36759400931437697,0.5007909458207771,0.2663938730128002,0.6156337890316901,0.7245265362054304,76.13907395190698,53.7251839231221,1.3695088357918113
0.72,0.5938018528761062,0.6986572792033745,0.8035127055306428,0.23381735669597872,0.4565460557602007,0.6792747548244227,0.36222842414406925,0.49794872586869987,0.2714406034492612,0.6133878313805069,0.7216604905338609,76.61826433040213,54.345394423979926,1.3225074692478864
0.73,0.5994628405838075,0.7032984685339316,0.8071340964840557,0.2289964550061258,0.44989446287161716,0.6707924707371085,0.35677134805762467,0.4949481448695327,0.27635359362381606,0.6111287140111702,0.7185823454598248,77.10035449938742,55.01055371283829,1.272977195196751
