fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc,model_key,model,family,predicted_positive_rate_pct,brier_score
fold_2023,7,0.9364754098360656,0.1591502698937837,0.272064295282036,0.578910939373434,52416,10.956578144078144,0.6980782359194305,0.9220855610430532,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,8,0.9346246973365616,0.1344245168030646,0.2350433855990257,0.5666337654827142,52416,10.956578144078144,0.6574096181257252,0.907752459857762,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,9,0.9229885057471264,0.139822392477799,0.2428549826100106,0.5691934365062918,52416,10.956578144078144,0.647366827398169,0.9042664077540176,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,10,0.9177377892030848,0.1243252655406581,0.218984818279405,0.5614770115332113,52416,10.956578144078144,0.6370223038469341,0.9052261827250808,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,11,0.9072769953051644,0.1345986418248302,0.2344200151630023,0.5664530071978479,52416,10.956578144078144,0.6374066342004174,0.9054461660539522,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,12,0.8720200752823086,0.1209958217270195,0.2125057330683381,0.5594051786043394,52416,10.95848595848596,0.5925792626410383,0.8947300701696567,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,13,0.8683181225554107,0.1159268929503916,0.2045454545454545,0.556881404093417,52416,10.960393772893774,0.577972204154486,0.885221618455086,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,14,0.8526048284625158,0.1167768882701009,0.2054186438083575,0.5571456757613629,52416,10.962301587301589,0.5722560706450733,0.8810130761630994,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,15,0.8626974483596598,0.1235427179397946,0.2161339421613394,0.5605607052168707,52416,10.964209401709402,0.5769446435566341,0.8822022438861652,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,16,0.8606356968215159,0.1224773834377174,0.2144380140115747,0.5600172980443923,52416,10.966117216117215,0.5798690789985587,0.8884176974603588,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,17,0.8455772113943029,0.0980869565217391,0.1757830762038335,0.5479398910667668,52416,10.969932844932844,0.5559761622346301,0.8787478305590701,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,18,0.824773413897281,0.094923504867872,0.1702525724976613,0.5462188242666122,52416,10.973748473748474,0.5583247029252421,0.8863518234222961,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,19,0.8683274021352313,0.127215849843587,0.221919054115507,0.5624185202670423,52416,10.977564102564102,0.5574387278272862,0.8725084261740639,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,20,0.8680465717981889,0.1165942658557775,0.2055759803921568,0.557204143064834,52416,10.979471916971915,0.563950781011638,0.8790757730895621,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,21,0.8600543478260869,0.1099722029186935,0.1950092421441774,0.553882372355189,52416,10.98137973137973,0.5752984137549121,0.883971822987519,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,22,0.8897849462365591,0.1724856696195935,0.2889567874290702,0.5849247611262631,52416,10.983287545787546,0.6009020980677476,0.8905575505792076,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,23,0.8782383419689119,0.1177696717040125,0.2076887731658753,0.5578775275084926,52416,10.983287545787546,0.5681032041973325,0.8807194178997537,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
