task,horizon,feature,feature_family,importance,importance_pct
xgb,9,target_hour_cos,calendar_time,0.01903214491903782,1.903214454650879
xgb,9,target_weekday_cos,calendar_time,0.017828524112701416,1.7828524112701416
xgb,9,origin__reported_premise_count,context,0.01604759693145752,1.604759693145752
xgb,9,target_month,calendar_time,0.01418816763907671,1.4188168048858643
xgb,9,origin_rolling_mean_168h,demand_history,0.01406161393970251,1.4061614274978638
xgb,9,origin_rolling_std_24h,demand_history,0.013668027706444263,1.3668028116226196
xgb,9,target_weekday,calendar_time,0.01345906313508749,1.3459062576293945
xgb,9,origin_rolling_mean_24h,demand_history,0.011893593706190586,1.189359426498413
xgb,9,origin__Stn Press (kPa),weather,0.007104080636054277,0.710408091545105
xgb,9,origin__Rel Hum (%),weather,0.006622329354286194,0.6622329354286194
xgb,9,target_weekday_sin,calendar_time,0.006475326605141163,0.6475326418876648
xgb,9,target_lag_48h,demand_history,0.006421420723199844,0.6421420574188232
xgb,9,target_lag_168h,demand_history,0.006391569506376982,0.6391569375991821
xgb,10,fsa,spatial,0.23273946344852448,23.273942947387695
xgb,10,target_hour,calendar_time,0.16125914454460144,16.125913619995117
xgb,10,target_season,calendar_time,0.14705213904380798,14.705212593078613
xgb,10,target_hour_sin,calendar_time,0.1149488016963005,11.494878768920898
xgb,10,target_lag_24h,demand_history,0.057721998542547226,5.7721991539001465
xgb,10,target_month_cos,calendar_time,0.04560726135969162,4.560725688934326
xgb,10,origin__Temp (°C),weather,0.04013792797923088,4.013792514801025
xgb,10,target_month_sin,calendar_time,0.024971570819616318,2.4971566200256348
xgb,10,target_is_weekend,calendar_time,0.020400270819664,2.040026903152466
xgb,10,target_hour_cos,calendar_time,0.020068475976586342,2.006847381591797
xgb,10,target_weekday_cos,calendar_time,0.01736455038189888,1.7364548444747925
xgb,10,origin__reported_premise_count,context,0.01661141775548458,1.6611416339874268
xgb,10,target_month,calendar_time,0.014588096179068089,1.4588093757629395
xgb,10,origin_rolling_mean_168h,demand_history,0.014512487687170506,1.4512485265731812
xgb,10,origin_rolling_std_24h,demand_history,0.013880643993616104,1.3880642652511597
xgb,10,target_weekday,calendar_time,0.013471037149429321,1.347103476524353
xgb,10,origin_rolling_mean_24h,demand_history,0.011118288151919842,1.1118286848068237
xgb,10,target_weekday_sin,calendar_time,0.0074264719150960445,0.742647111415863
xgb,10,origin__Stn Press (kPa),weather,0.007085180841386318,0.7085179686546326
xgb,10,target_lag_48h,demand_history,0.006649424787610769,0.6649423837661743
xgb,10,target_lag_168h,demand_history,0.006495940964668989,0.6495940089225769
xgb,10,origin__Rel Hum (%),weather,0.00588942551985383,0.5889424681663513
xgb,11,fsa,spatial,0.21403957903385162,21.403955459594727
xgb,11,target_hour,calendar_time,0.16806329786777496,16.80632781982422
xgb,11,target_season,calendar_time,0.16296882927417755,16.2968807220459
xgb,11,target_hour_sin,calendar_time,0.11821967363357544,11.821966171264648
xgb,11,target_lag_24h,demand_history,0.0555252879858017,5.552527904510498
xgb,11,target_month_cos,calendar_time,0.042295511811971664,4.229550838470459
xgb,11,origin__Temp (°C),weather,0.04065956920385361,4.0659565925598145
xgb,11,target_month_sin,calendar_time,0.02375202253460884,2.375201940536499
xgb,11,target_hour_cos,calendar_time,0.0234698336571455,2.346982955932617
xgb,11,target_is_weekend,calendar_time,0.018610788509249687,1.8610786199569702
xgb,11,target_weekday_cos,calendar_time,0.017001431435346603,1.7001429796218872
xgb,11,origin__reported_premise_count,context,0.016469623893499374,1.6469621658325195
xgb,11,target_month,calendar_time,0.015126766636967659,1.512676477432251
xgb,11,origin_rolling_std_24h,demand_history,0.013441904447972775,1.344190239906311
xgb,11,target_weekday,calendar_time,0.013259083963930607,1.3259081840515137
xgb,11,origin_rolling_mean_168h,demand_history,0.012993242591619492,1.2993240356445312
xgb,11,origin_rolling_mean_24h,demand_history,0.010861014015972614,1.0861012935638428
xgb,11,origin__Stn Press (kPa),weather,0.007444821298122406,0.7444820404052734
