task,horizon,feature_family,importance_pct
xgb,19,weather,5.700971245765686
xgb,20,calendar_time,62.188585460186005
xgb,20,context,1.500059723854065
xgb,20,demand_history,9.539655327796936
xgb,20,spatial,20.91517448425293
xgb,20,weather,5.856526136398315
xgb,21,calendar_time,61.50437778234482
xgb,21,context,1.5800360441207886
xgb,21,demand_history,9.856687545776367
xgb,21,spatial,21.140605926513672
xgb,21,weather,5.918291926383972
xgb,22,calendar_time,62.10640013217926
xgb,22,context,1.5518579483032227
xgb,22,demand_history,8.973172962665558
xgb,22,spatial,20.830055236816406
xgb,22,weather,6.538522005081177
xgb,23,calendar_time,62.47412192821503
xgb,23,context,1.4228214025497437
xgb,23,demand_history,9.045729458332062
xgb,23,spatial,19.46633529663086
xgb,23,weather,7.590985298156738
xgb,24,calendar_time,61.78230136632919
xgb,24,context,1.240116834640503
xgb,24,demand_history,8.55229926109314
xgb,24,spatial,20.7188720703125
xgb,24,weather,7.706414759159088
